edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,id,satisfaccion_entorno,implicacion,nivel_laboral,puesto,sastisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual,salario_ano,impacto_abandono,scoring
41,Yes,Travel_Rarely,Sales,1,Bachelor,Life Sciences,1,Medium,High,2,Sales Executive,High,Single,5993,8,Yes,11,Excellent,Low,0,8,0,6,0,5,71916,14670.864,0.7538461538461538
49,No,Travel_Frequently,Research & Development,8,College,Life Sciences,2,High,Medium,2,Research Scientist,Medium,Married,5130,1,No,23,Outstanding,Very High,1,10,3,10,1,7,61560,12558.24,0.03076923076923077
37,Yes,Travel_Rarely,Research & Development,2,College,Other,4,Very High,Medium,1,Laboratory Technician,Medium,Single,2090,6,Yes,15,Excellent,Medium,0,7,3,0,0,0,25080,4037.88,0.9
33,No,Travel_Frequently,Research & Development,3,Bachelor,Life Sciences,5,Very High,High,1,Research Scientist,High,Married,2909,1,Yes,11,Excellent,High,0,8,3,8,3,0,34908,6876.876,0.4307692307692308
27,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,7,Low,High,1,Laboratory Technician,High,Married,3468,9,No,12,Excellent,Very High,1,6,3,2,2,2,41616,8198.352,0.11538461538461539
32,No,Travel_Frequently,Research & Development,2,Bachelor,Life Sciences,8,Very High,High,1,Laboratory Technician,High,Single,3068,0,No,13,Excellent,High,0,8,2,7,3,6,36816,7252.752,0.046153846153846156
59,No,Travel_Rarely,Research & Development,3,Master,Medical,10,High,Very High,1,Laboratory Technician,Very High,Married,2670,4,Yes,20,Outstanding,Low,3,12,3,1,0,0,32040,6311.88,0.13076923076923078
30,No,Travel_Rarely,Research & Development,24,Bachelor,Life Sciences,11,Very High,High,1,Laboratory Technician,High,Divorced,2693,1,No,22,Outstanding,Medium,1,1,2,1,0,0,32316,6366.252,0.16153846153846155
38,No,Travel_Frequently,Research & Development,23,College,Life Sciences,12,Very High,Medium,3,Manufacturing Director,Medium,Single,9526,0,No,21,Outstanding,Medium,0,10,2,9,1,8,114312,24005.52,0.038461538461538464
36,No,Travel_Rarely,Research & Development,27,Bachelor,Medical,13,High,High,2,Healthcare Representative,High,Married,5237,6,No,13,Excellent,Medium,2,17,3,7,7,7,62844,12820.176,0.08461538461538462
35,No,Travel_Rarely,Research & Development,16,Master,Medical,14,Low,Very High,1,Laboratory Technician,Very High,Married,2426,0,No,13,Excellent,High,1,6,5,5,0,3,29112,4687.032,0.17692307692307693
29,No,Travel_Rarely,Research & Development,15,College,Life Sciences,15,Very High,Medium,2,Laboratory Technician,Medium,Single,4193,0,Yes,12,Excellent,Very High,0,10,3,9,0,8,50316,10264.464,0.06153846153846154
31,No,Travel_Rarely,Research & Development,26,Bachelor,Life Sciences,16,Low,High,1,Research Scientist,High,Divorced,2911,1,No,17,Excellent,Very High,1,5,1,5,4,3,34932,6881.604,0.05384615384615385
34,No,Travel_Rarely,Research & Development,19,Bachelor,Medical,18,Medium,High,1,Laboratory Technician,High,Divorced,2661,0,No,11,Excellent,High,1,3,2,2,1,2,31932,6290.604,0.03076923076923077
28,Yes,Travel_Rarely,Research & Development,24,College,Life Sciences,19,High,Medium,1,Laboratory Technician,Medium,Single,2028,5,Yes,14,Excellent,Medium,0,6,4,4,0,3,24336,3918.096,0.8923076923076924
29,No,Travel_Rarely,Research & Development,21,Master,Life Sciences,20,Medium,Very High,3,Manufacturing Director,Very High,Divorced,9980,1,No,11,Excellent,High,1,10,1,10,8,8,119760,25149.6,0.046153846153846156
32,No,Travel_Rarely,Research & Development,5,Master,Life Sciences,21,Low,Very High,1,Research Scientist,Very High,Divorced,3298,0,Yes,12,Excellent,Very High,2,7,5,6,0,5,39576,7796.472000000001,0.06923076923076923
22,No,Non-Travel,Research & Development,16,Master,Medical,22,Very High,Very High,1,Laboratory Technician,Very High,Divorced,2935,1,Yes,13,Excellent,Medium,2,1,2,1,0,0,35220,6938.34,0.2230769230769231
53,No,Travel_Rarely,Sales,2,College,Life Sciences,23,Low,Medium,4,Manager,Medium,Married,15427,2,No,16,Excellent,High,0,31,3,25,3,7,185124,38876.04,0.05384615384615385
38,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,24,Very High,High,1,Research Scientist,High,Single,3944,5,Yes,11,Excellent,High,0,6,3,3,1,2,47328,9323.616,0.1076923076923077
24,No,Non-Travel,Research & Development,11,Master,Other,26,Low,Very High,2,Manufacturing Director,Very High,Divorced,4011,0,No,18,Excellent,Very High,1,5,5,4,1,3,48132,9482.004,0.03076923076923077
36,Yes,Travel_Rarely,Sales,9,College,Life Sciences,27,High,Medium,1,Sales Representative,High,Single,3407,7,No,23,Outstanding,Medium,0,10,4,5,0,3,40884,8054.148,0.6692307692307692
34,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,28,Low,High,3,Research Director,High,Single,11994,0,No,11,Excellent,High,0,13,4,12,2,11,143928,30224.879999999997,0.007692307692307693
21,No,Travel_Rarely,Research & Development,15,Bachelor,Life Sciences,30,High,High,1,Research Scientist,High,Single,1232,1,No,14,Excellent,Very High,0,0,6,0,0,0,14784,2380.224,0.14615384615384616
34,Yes,Travel_Rarely,Research & Development,6,Bachelor,Medical,31,Medium,High,1,Research Scientist,High,Single,2960,2,No,11,Excellent,High,0,8,2,4,1,3,35520,6997.4400000000005,0.015384615384615385
53,No,Travel_Rarely,Research & Development,5,Bachelor,Other,32,High,High,5,Manager,High,Divorced,19094,4,No,11,Excellent,Very High,1,26,3,14,4,8,229128,48116.88,0.007692307692307693
32,Yes,Travel_Frequently,Research & Development,16,Below College,Life Sciences,33,Medium,Low,1,Research Scientist,High,Single,3919,1,Yes,22,Outstanding,Medium,0,10,5,10,6,7,47028,9264.516,0.7846153846153846
42,No,Travel_Rarely,Sales,8,Bachelor,Marketing,35,High,High,2,Sales Executive,High,Married,6825,0,No,11,Excellent,Very High,1,10,2,9,4,2,81900,17199,0
44,No,Travel_Rarely,Research & Development,7,College,Medical,36,Low,Medium,3,Healthcare Representative,Medium,Married,10248,3,No,14,Excellent,Very High,1,24,4,22,5,17,122976,25824.96,0
46,No,Travel_Rarely,Sales,2,Bachelor,Marketing,38,Medium,High,5,Manager,High,Single,18947,3,No,12,Excellent,Very High,0,22,2,2,2,1,227364,47746.439999999995,0.007692307692307693
33,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,39,High,High,1,Laboratory Technician,High,Single,2496,4,No,11,Excellent,Very High,0,7,3,1,0,0,29952,4822.272,0.046153846153846156
44,No,Travel_Rarely,Research & Development,10,Bachelor,Other,40,Very High,High,2,Healthcare Representative,High,Married,6465,2,Yes,13,Excellent,Very High,0,9,5,4,1,3,77580,16291.8,0.023076923076923078
30,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,41,Very High,High,1,Laboratory Technician,High,Single,2206,1,No,13,Excellent,Low,0,10,5,10,1,8,26472,4261.992,0.06153846153846154
39,Yes,Travel_Rarely,Sales,5,Bachelor,Technical Degree,42,Very High,High,2,Sales Representative,High,Married,2086,3,No,14,Excellent,High,1,19,6,1,0,0,25032,4030.152,0.25384615384615383
24,Yes,Travel_Rarely,Research & Development,1,Bachelor,Medical,45,Medium,High,1,Research Scientist,High,Married,2293,2,Yes,16,Excellent,Low,1,6,2,2,2,0,27516,4430.076,0.7923076923076923
43,No,Travel_Rarely,Research & Development,2,Master,Medical,46,Very High,Very High,1,Research Scientist,Very High,Divorced,2645,1,No,12,Excellent,Very High,2,6,3,5,1,4,31740,6252.780000000001,0.015384615384615385
50,Yes,Travel_Rarely,Sales,3,College,Marketing,47,Low,Medium,1,Sales Representative,Medium,Married,2683,1,Yes,14,Excellent,High,0,3,2,3,0,2,32196,6342.612,0.8153846153846154
35,No,Travel_Rarely,Sales,2,Bachelor,Marketing,49,Very High,High,1,Sales Representative,High,Married,2014,1,No,13,Excellent,Low,0,2,3,2,2,2,24168,3891.0480000000002,0.1076923076923077
36,No,Travel_Rarely,Research & Development,5,College,Life Sciences,51,Medium,Medium,1,Research Scientist,Medium,Married,3419,9,Yes,14,Excellent,Very High,1,6,3,1,0,0,41028,8082.5160000000005,0.2846153846153846
33,No,Travel_Frequently,Sales,1,Master,Life Sciences,52,High,Very High,2,Sales Executive,Very High,Married,5376,2,No,19,Excellent,Low,2,10,3,5,1,3,64512,13160.447999999999,0.07692307692307693
35,No,Travel_Rarely,Research & Development,4,Bachelor,Other,53,High,High,1,Laboratory Technician,High,Divorced,1951,1,No,12,Excellent,High,1,1,3,1,0,0,23412,3769.332,0.2230769230769231
27,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,54,Very High,High,1,Laboratory Technician,High,Divorced,2341,1,No,13,Excellent,Very High,1,1,6,1,0,0,28092,4522.812,0.07692307692307693
26,Yes,Travel_Rarely,Research & Development,25,Bachelor,Life Sciences,55,Low,Low,1,Laboratory Technician,Low,Single,2293,1,No,12,Excellent,High,0,1,2,1,0,1,27516,4430.076,0.5615384615384615
27,No,Travel_Frequently,Sales,8,Bachelor,Life Sciences,56,Very High,High,3,Sales Executive,High,Single,8726,1,No,15,Excellent,Very High,0,9,0,9,1,7,104712,21989.52,0.038461538461538464
30,No,Travel_Frequently,Research & Development,1,Bachelor,Medical,57,High,High,2,Laboratory Technician,High,Single,4011,1,No,23,Outstanding,Very High,0,12,2,12,3,7,48132,9482.004,0.06923076923076923
41,Yes,Travel_Rarely,Research & Development,12,Bachelor,Technical Degree,58,Medium,High,5,Research Director,High,Married,19545,1,No,12,Excellent,Very High,0,23,0,22,15,8,234540,49253.4,0.6615384615384615
34,No,Non-Travel,Sales,23,Bachelor,Marketing,60,Medium,High,2,Sales Executive,High,Single,4568,0,No,20,Outstanding,High,0,10,2,9,8,7,54816,11182.464,0.09230769230769231
37,No,Travel_Rarely,Research & Development,19,Bachelor,Life Sciences,61,Medium,High,1,Research Scientist,High,Married,3022,4,No,21,Outstanding,Low,0,8,1,1,0,0,36264,7144.008000000001,0.023076923076923078
46,No,Travel_Frequently,Sales,5,Bachelor,Marketing,62,Low,High,2,Sales Executive,High,Single,5772,4,Yes,21,Outstanding,High,0,14,4,9,0,8,69264,14129.856,0.33076923076923076
35,No,Travel_Rarely,Research & Development,8,Master,Life Sciences,63,Very High,Very High,1,Laboratory Technician,Very High,Married,2269,1,No,19,Excellent,Very High,0,1,2,1,0,1,27228,4383.7080000000005,0.046153846153846156
48,Yes,Travel_Rarely,Research & Development,1,College,Life Sciences,64,Low,Medium,3,Laboratory Technician,Medium,Single,5381,9,Yes,13,Excellent,Very High,0,23,2,1,0,0,64572,13172.687999999998,0.7769230769230769
28,Yes,Travel_Rarely,Research & Development,5,Bachelor,Technical Degree,65,High,High,1,Laboratory Technician,High,Single,3441,1,Yes,13,Excellent,High,0,2,3,2,2,2,41292,8134.524,0.8076923076923077
44,No,Travel_Rarely,Sales,1,Bachelor,Marketing,68,Medium,High,2,Sales Executive,High,Divorced,5454,5,Yes,21,Outstanding,High,1,9,2,4,1,3,65448,13351.392,0.1
35,No,Non-Travel,Research & Development,11,Bachelor,Medical,70,High,Medium,3,Healthcare Representative,Medium,Married,9884,2,Yes,13,Excellent,High,1,10,3,4,2,3,118608,24907.68,0.015384615384615385
26,No,Travel_Rarely,Sales,23,College,Marketing,72,High,Medium,2,Sales Executive,Medium,Married,4157,7,Yes,19,Excellent,High,1,5,2,2,0,0,49884,9827.148000000001,0.12307692307692308
33,No,Travel_Frequently,Research & Development,1,Bachelor,Life Sciences,73,Low,High,3,Research Director,High,Single,13458,1,Yes,12,Excellent,High,0,15,1,15,8,12,161496,33914.159999999996,0.11538461538461539
35,No,Travel_Frequently,Sales,18,Bachelor,Life Sciences,74,Medium,High,3,Sales Executive,High,Married,9069,1,No,22,Outstanding,Very High,1,9,3,9,1,8,108828,22853.879999999997,0.015384615384615385
35,No,Travel_Rarely,Research & Development,23,Bachelor,Medical,75,High,High,1,Laboratory Technician,High,Married,4014,3,Yes,15,Excellent,High,1,4,3,2,2,2,48168,9489.096,0.17692307692307693
31,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,76,Very High,High,2,Laboratory Technician,High,Divorced,5915,3,No,22,Outstanding,Very High,1,10,3,7,1,7,70980,14479.919999999998,0.07692307692307693
37,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,77,Low,Medium,2,Manufacturing Director,Medium,Divorced,5993,1,No,18,Excellent,High,1,7,2,7,0,7,71916,14670.864,0
32,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,78,Low,High,2,Manufacturing Director,High,Married,6162,1,Yes,22,Outstanding,Medium,1,9,3,9,7,8,73944,15084.576,0.08461538461538462
38,No,Travel_Frequently,Research & Development,29,Bachelor,Life Sciences,79,Very High,High,2,Laboratory Technician,High,Single,2406,1,No,11,Excellent,Very High,0,10,2,10,9,9,28872,4648.392,0.09230769230769231
50,No,Travel_Rarely,Research & Development,7,College,Medical,80,Medium,Medium,5,Research Director,Medium,Divorced,18740,5,Yes,12,Excellent,Very High,1,29,2,27,13,8,224880,47224.799999999996,0.06153846153846154
59,No,Travel_Rarely,Sales,25,Bachelor,Life Sciences,81,Low,High,3,Sales Executive,High,Single,7637,7,No,11,Excellent,Very High,0,28,3,21,7,9,91644,19245.239999999998,0.06923076923076923
36,No,Travel_Rarely,Research & Development,8,Bachelor,Technical Degree,83,High,High,3,Healthcare Representative,High,Divorced,10096,1,No,13,Excellent,Medium,3,17,2,17,12,8,121152,25441.92,0.023076923076923078
55,No,Travel_Rarely,Research & Development,8,Bachelor,Medical,84,Very High,High,4,Manager,High,Divorced,14756,2,Yes,14,Excellent,High,3,21,2,5,0,2,177072,37185.119999999995,0.023076923076923078
36,No,Travel_Frequently,Research & Development,11,Bachelor,Life Sciences,85,Medium,High,2,Manufacturing Director,High,Single,6499,1,No,13,Excellent,High,0,6,3,6,0,3,77988,16377.48,0.03076923076923077
45,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,86,Medium,High,3,Research Scientist,High,Divorced,9724,2,No,17,Excellent,High,1,25,2,1,0,0,116688,24504.48,0
35,No,Travel_Frequently,Research & Development,1,Bachelor,Medical,88,Medium,High,1,Research Scientist,High,Married,2194,4,No,13,Excellent,Very High,1,5,2,3,1,2,26328,4238.808,0.06923076923076923
36,Yes,Travel_Rarely,Research & Development,9,College,Medical,90,Very High,Medium,1,Research Scientist,Medium,Married,3388,0,Yes,17,Excellent,Low,1,2,0,1,0,0,40656,8009.232,0.7
59,No,Travel_Frequently,Sales,1,College,Life Sciences,91,Low,Medium,2,Sales Executive,Medium,Single,5473,7,No,11,Excellent,Very High,0,20,2,4,1,3,65676,13397.903999999999,0.16153846153846155
29,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,94,High,High,1,Research Scientist,High,Married,2703,0,No,23,Outstanding,Very High,1,6,3,5,0,4,32436,6389.892,0.007692307692307693
31,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,95,High,High,1,Research Scientist,High,Single,2501,1,No,17,Excellent,Medium,0,1,4,1,1,0,30012,5912.3640000000005,0.1
32,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,96,Medium,High,2,Research Scientist,High,Married,6220,1,No,17,Excellent,Medium,2,10,3,10,0,9,74640,15226.56,0
36,No,Travel_Rarely,Research & Development,6,Master,Life Sciences,97,Medium,Very High,1,Laboratory Technician,Very High,Married,3038,3,No,12,Excellent,Medium,0,5,3,1,0,0,36456,7181.832,0.046153846153846156
31,No,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,98,High,High,2,Manufacturing Director,High,Single,4424,1,No,23,Outstanding,Very High,0,11,2,11,1,8,53088,10829.952,0.015384615384615385
35,No,Travel_Rarely,Sales,1,College,Marketing,100,High,Medium,2,Sales Executive,Medium,Single,4312,0,No,14,Excellent,Medium,0,16,2,15,2,8,51744,10555.776,0.03076923076923077
45,No,Travel_Rarely,Research & Development,6,Bachelor,Other,101,Very High,High,3,Research Director,High,Married,13245,4,Yes,14,Excellent,Medium,0,17,3,0,0,0,158940,33377.4,0.046153846153846156
37,No,Travel_Rarely,Research & Development,7,Bachelor,Medical,102,Low,High,3,Research Director,High,Single,13664,4,No,13,Excellent,Low,0,16,3,5,0,2,163968,34433.28,0.03076923076923077
46,No,Travel_Rarely,Human Resources,5,Bachelor,Medical,103,Medium,High,2,Human Resources,High,Divorced,5021,8,Yes,22,Outstanding,Very High,1,16,2,4,0,2,60252,12291.408,0.11538461538461539
30,No,Travel_Rarely,Research & Development,1,College,Life Sciences,104,Very High,Medium,2,Laboratory Technician,Medium,Married,5126,1,Yes,12,Excellent,High,2,10,1,10,3,0,61512,12548.447999999999,0.046153846153846156
35,No,Travel_Rarely,Research & Development,1,College,Medical,105,Medium,Medium,1,Research Scientist,Medium,Single,2859,1,No,18,Excellent,Low,0,6,3,6,0,4,34308,6758.676,0.038461538461538464
55,No,Travel_Rarely,Sales,1,Bachelor,Life Sciences,106,Low,High,3,Sales Executive,High,Married,10239,3,No,14,Excellent,Very High,1,24,4,1,1,0,122868,25802.28,0.046153846153846156
38,No,Non-Travel,Research & Development,6,Below College,Medical,107,Medium,Low,2,Research Scientist,Low,Divorced,5329,7,Yes,12,Excellent,Very High,3,17,3,13,1,9,63948,13045.392,0.13076923076923078
34,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,110,Low,High,2,Manufacturing Director,High,Married,4325,1,No,15,Excellent,High,0,5,2,5,1,3,51900,10587.599999999999,0.015384615384615385
56,No,Travel_Rarely,Research & Development,7,Below College,Life Sciences,112,Very High,Low,3,Manufacturing Director,Low,Single,7260,4,No,11,Excellent,Low,0,37,3,6,0,2,87120,18295.2,0.1
23,No,Travel_Rarely,Sales,2,Bachelor,Technical Degree,113,High,High,1,Sales Representative,High,Divorced,2322,3,No,13,Excellent,High,1,3,3,0,0,0,27864,4486.104,0.2076923076923077
51,No,Travel_Rarely,Research & Development,9,Bachelor,Life Sciences,116,Very High,High,1,Laboratory Technician,High,Married,2075,3,No,23,Outstanding,Medium,2,10,4,4,0,3,24900,4008.9,0.13846153846153847
30,No,Travel_Rarely,Research & Development,2,College,Life Sciences,117,High,Medium,2,Healthcare Representative,Medium,Married,4152,1,No,19,Excellent,Low,3,11,3,11,10,8,49824,9815.328,0.06153846153846154
46,Yes,Travel_Rarely,Sales,9,College,Medical,118,High,Medium,3,Sales Executive,Medium,Single,9619,1,No,16,Excellent,Very High,0,9,3,9,4,7,115428,24239.879999999997,0.6923076923076923
40,No,Travel_Frequently,Research & Development,1,College,Life Sciences,119,High,Medium,4,Healthcare Representative,Medium,Married,13503,1,No,22,Outstanding,Very High,1,22,3,22,11,11,162036,34027.56,0
51,No,Travel_Rarely,Sales,21,Bachelor,Marketing,120,High,High,2,Sales Executive,High,Single,5441,0,Yes,22,Outstanding,Very High,0,11,2,10,1,0,65292,13319.568,0.11538461538461539
30,No,Travel_Rarely,Sales,4,College,Medical,121,High,Medium,2,Sales Executive,Medium,Divorced,5209,1,Yes,12,Excellent,Medium,3,11,4,11,2,7,62508,12751.632,0.046153846153846156
46,No,Travel_Frequently,Research & Development,1,College,Medical,124,High,Medium,3,Healthcare Representative,Medium,Married,10673,2,Yes,13,Excellent,High,1,21,5,10,9,5,128076,26895.96,0.023076923076923078
32,No,Travel_Rarely,Sales,6,Bachelor,Medical,125,Medium,High,2,Sales Executive,High,Single,5010,1,No,16,Excellent,Low,0,12,0,11,5,7,60120,12264.48,0.03076923076923077
54,No,Travel_Rarely,Research & Development,2,Bachelor,Technical Degree,126,Low,High,3,Research Director,High,Married,13549,9,No,12,Excellent,Low,1,16,5,4,0,3,162588,34143.479999999996,0.023076923076923078
24,No,Travel_Rarely,Sales,3,Bachelor,Other,128,Low,High,2,Sales Executive,High,Married,4999,0,No,21,Outstanding,Low,1,4,2,3,0,2,59988,12237.552,0.13846153846153847
28,No,Non-Travel,Sales,4,Bachelor,Medical,129,Medium,High,2,Sales Executive,High,Married,4221,1,No,15,Excellent,Medium,0,5,3,5,0,4,50652,10333.008,0.046153846153846156
58,No,Travel_Rarely,Sales,10,Bachelor,Medical,131,Very High,High,4,Sales Executive,High,Single,13872,0,No,13,Excellent,High,0,38,1,37,1,8,166464,34957.44,0.11538461538461539
44,No,Non-Travel,Research & Development,23,Bachelor,Medical,132,Medium,High,2,Laboratory Technician,High,Married,2042,4,No,12,Excellent,High,1,17,3,3,1,2,24504,3945.1440000000002,0.15384615384615385
37,Yes,Travel_Rarely,Human Resources,6,Bachelor,Human Resources,133,High,High,1,Human Resources,High,Divorced,2073,4,Yes,22,Outstanding,Very High,0,7,3,3,0,2,24876,4005.036,0.7923076923076923
32,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,134,Very High,High,1,Research Scientist,High,Single,2956,1,No,13,Excellent,Very High,0,1,2,1,0,0,35472,6987.984,0.19230769230769232
20,Yes,Travel_Frequently,Research & Development,6,College,Life Sciences,137,Very High,Medium,1,Laboratory Technician,Medium,Single,2926,1,Yes,18,Excellent,Medium,0,1,5,1,1,0,35112,6917.064,0.8615384615384616
34,No,Travel_Rarely,Research & Development,6,Bachelor,Other,138,Low,High,2,Research Scientist,High,Single,4809,1,No,14,Excellent,High,0,16,3,16,2,10,57708,11772.431999999999,0.007692307692307693
37,No,Non-Travel,Research & Development,2,Bachelor,Life Sciences,139,High,Medium,2,Healthcare Representative,Medium,Divorced,5163,5,No,14,Excellent,Very High,1,17,2,1,0,0,61956,12639.024,0.007692307692307693
59,No,Non-Travel,Human Resources,2,College,Human Resources,140,High,Medium,5,Manager,Medium,Married,18844,9,No,21,Outstanding,Very High,1,30,3,3,2,2,226128,47486.88,0.03076923076923077
50,No,Travel_Frequently,Research & Development,1,Bachelor,Life Sciences,141,Low,High,5,Research Director,High,Married,18172,3,Yes,19,Excellent,Low,0,28,1,8,0,7,218064,45793.439999999995,0.16153846153846155
25,Yes,Travel_Rarely,Sales,5,College,Marketing,142,High,Medium,2,Sales Executive,Medium,Single,5744,1,Yes,11,Excellent,Very High,0,6,1,6,0,3,68928,14061.312,0.676923076923077
